timestamp,cps,cps_err,usv_hr
1776297930.7969732,9.8,1.4,0.1228332
1776297935.8555791,9.2,1.3564659966250536,0.1153128
1776297940.8875291,8.4,1.2961481396815722,0.10528560000000001
1776297945.9277833,10.4,1.4422205101855956,0.13035360000000001
1776297951.015577,10.4,1.4422205101855956,0.13035360000000001
1776297956.0429044,7.8,1.2489995996796797,0.0977652
1776297961.1033938,8.0,1.2649110640673518,0.100272
1776297966.129648,9.8,1.4,0.1228332
1776297971.2018552,10.4,1.4422205101855956,0.13035360000000001
1776297976.2806444,9.0,1.3416407864998738,0.112806
1776297981.3142462,8.8,1.3266499161421599,0.11029920000000001
1776297986.3528693,10.0,1.4142135623730951,0.12534
1776297991.44042,9.4,1.3711309200802089,0.11781960000000001
1776297996.4458222,9.6,1.3856406460551018,0.1203264
1776298001.5322237,11.6,1.5231546211727818,0.1453944
1776298006.5861783,9.2,1.3564659966250536,0.1153128
1776298011.6394112,6.2,1.1135528725660042,0.0777108
1776298016.6628466,10.6,1.4560219778561037,0.1328604
1776298021.7547486,10.0,1.4142135623730951,0.12534
1776298026.7922277,7.6,1.2328828005937953,0.0952584
1776298030.842089,7.2,1.2,0.0902448
1776298035.8841076,8.4,1.2961481396815722,0.10528560000000001
1776298040.9253402,7.6,1.2328828005937953,0.0952584
1776298045.9970212,11.2,1.4966629547095764,0.1403808
1776298051.0498722,10.8,1.469693845669907,0.13536720000000002
1776298056.0796618,11.4,1.50996688705415,0.1428876
1776298061.1266527,11.0,1.4832396974191326,0.137874
1776298066.2046056,9.6,1.3856406460551018,0.1203264
1776298071.2387357,8.0,1.2649110640673518,0.100272
1776298076.3119915,9.4,1.3711309200802089,0.11781960000000001
1776298081.352771,10.6,1.4560219778561037,0.1328604
1776298086.4322684,7.6,1.2328828005937953,0.0952584
1776298091.4723969,8.6,1.3114877048604001,0.1077924
1776298096.5302908,9.2,1.3564659966250536,0.1153128
1776298101.5606902,8.0,1.2649110640673518,0.100272
1776298106.6397836,9.2,1.3564659966250536,0.1153128
1776298111.6693575,9.8,1.4,0.1228332
1776298116.7498941,8.8,1.3266499161421599,0.11029920000000001
1776298121.789715,11.0,1.4832396974191326,0.137874
1776298126.8329098,10.6,1.4560219778561037,0.1328604
1776298130.8770792,7.6,1.2328828005937953,0.0952584
1776298135.9598567,11.4,1.50996688705415,0.1428876
1776298141.0189006,13.8,1.6613247725836149,0.17296920000000002
1776298146.0691926,10.4,1.4422205101855956,0.13035360000000001
1776298151.1052437,10.8,1.469693845669907,0.13536720000000002
1776298156.1437266,8.6,1.3114877048604001,0.1077924
1776298161.185084,10.2,1.4282856857085702,0.12784679999999998
1776298166.2360475,9.2,1.3564659966250536,0.1153128
1776298171.320101,9.8,1.4,0.1228332
1776298176.370456,11.4,1.50996688705415,0.1428876
1776298181.425667,7.6,1.2328828005937953,0.0952584
1776298186.4711626,11.6,1.5231546211727818,0.1453944
1776298191.5202281,12.2,1.5620499351813308,0.1529148
1776298196.563567,12.6,1.5874507866387544,0.1579284
1776298201.6416717,11.6,1.5231546211727818,0.1453944
1776298206.6670852,11.0,1.4832396974191326,0.137874
1776298211.7426064,11.2,1.4966629547095764,0.1403808
1776298216.7756069,9.6,1.3856406460551018,0.1203264
1776298221.8686712,10.2,1.4282856857085702,0.12784679999999998
1776298226.91126,11.6,1.5231546211727818,0.1453944
1776298230.943517,6.6,1.1489125293076057,0.08272439999999999
1776298235.9832833,9.0,1.3416407864998738,0.112806
1776298241.0307207,11.0,1.4832396974191326,0.137874
1776298246.1126103,11.8,1.5362291495737215,0.1479012
1776298251.152385,8.6,1.3114877048604001,0.1077924
1776298256.2005312,7.8,1.2489995996796797,0.0977652
1776298261.2697477,9.0,1.3416407864998738,0.112806
1776298266.3069077,7.6,1.2328828005937953,0.0952584
1776298271.355002,11.0,1.4832396974191326,0.137874
1776298276.436951,9.0,1.3416407864998738,0.112806
1776298281.4751267,11.4,1.50996688705415,0.1428876
1776298286.5451746,9.0,1.3416407864998738,0.112806
1776298291.5717566,9.2,1.3564659966250536,0.1153128
1776298296.6516762,13.2,1.624807680927192,0.16544879999999998
1776298301.7131052,12.6,1.5874507866387544,0.1579284
1776298306.7460973,10.6,1.4560219778561037,0.1328604
1776298311.79498,10.4,1.4422205101855956,0.13035360000000001
1776298316.8752666,8.2,1.2806248474865698,0.10277879999999999
1776298321.9301739,10.2,1.4282856857085702,0.12784679999999998
1776298326.9459786,7.2,1.2,0.0902448
1776298331.0000246,7.4,1.2165525060596438,0.0927516
1776298336.0352223,11.8,1.5362291495737215,0.1479012
1776298341.1299036,10.8,1.469693845669907,0.13536720000000002
1776298346.1636214,8.8,1.3266499161421599,0.11029920000000001
1776298351.207002,8.6,1.3114877048604001,0.1077924
1776298356.283291,9.8,1.4,0.1228332
1776298361.3166642,7.8,1.2489995996796797,0.0977652
1776298366.3520334,12.0,1.5491933384829668,0.150408
1776298371.4480906,10.2,1.4282856857085702,0.12784679999999998
1776298376.4806151,12.6,1.5874507866387544,0.1579284
1776298381.539422,11.6,1.5231546211727818,0.1453944
1776298386.5688572,10.2,1.4282856857085702,0.12784679999999998
1776298391.6368036,10.6,1.4560219778561037,0.1328604
1776298396.6781378,12.6,1.5874507866387544,0.1579284
1776298401.7678,9.0,1.3416407864998738,0.112806
1776298406.8194609,10.0,1.4142135623730951,0.12534
1776298411.8667934,10.6,1.4560219778561037,0.1328604
1776298416.9019756,11.4,1.50996688705415,0.1428876
1776298421.9330153,12.2,1.5620499351813308,0.1529148
1776298427.0359652,11.6,1.5231546211727818,0.1453944
1776298432.039703,11.2,1.4966629547095764,0.1403808
1776298436.0930755,9.4,1.3711309200802089,0.11781960000000001
1776298441.1653097,13.2,1.624807680927192,0.16544879999999998
1776298446.203509,12.2,1.5620499351813308,0.1529148
1776298451.2489533,10.2,1.4282856857085702,0.12784679999999998
1776298456.3279073,11.0,1.4832396974191326,0.137874
1776298461.363313,11.0,1.4832396974191326,0.137874
1776298466.4080632,9.4,1.3711309200802089,0.11781960000000001
1776298471.4609458,9.6,1.3856406460551018,0.1203264
1776298476.5110216,11.8,1.5362291495737215,0.1479012
1776298481.5971518,8.4,1.2961481396815722,0.10528560000000001
1776298486.636481,9.4,1.3711309200802089,0.11781960000000001
1776298491.6759408,9.6,1.3856406460551018,0.1203264
1776298496.7500656,10.6,1.4560219778561037,0.1328604
1776298501.787112,10.8,1.469693845669907,0.13536720000000002
1776298506.8777826,10.6,1.4560219778561037,0.1328604
1776298511.8822231,12.4,1.5748015748023623,0.1554216
1776298516.9437933,13.6,1.6492422502470643,0.1704624
1776298522.0061872,9.8,1.4,0.1228332
1776298527.0464833,11.6,1.5231546211727818,0.1453944
1776298532.1341574,10.4,1.4422205101855956,0.13035360000000001
1776298536.1367445,9.6,1.3856406460551018,0.1203264
1776298541.2023795,14.6,1.708800749063506,0.1829964
1776298546.2600448,7.8,1.2489995996796797,0.0977652
1776298551.3269026,12.4,1.5748015748023623,0.1554216
1776298556.3657196,9.6,1.3856406460551018,0.1203264
1776298561.4157927,9.6,1.3856406460551018,0.1203264
1776298566.491573,12.6,1.5874507866387544,0.1579284
1776298571.5213752,11.2,1.4966629547095764,0.1403808
1776298576.5939672,10.2,1.4282856857085702,0.12784679999999998
1776298581.6544876,11.2,1.4966629547095764,0.1403808
1776298586.7034779,8.6,1.3114877048604001,0.1077924
1776298591.7599118,11.4,1.50996688705415,0.1428876
1776298596.802392,11.4,1.50996688705415,0.1428876
1776298601.855875,9.6,1.3856406460551018,0.1203264
1776298606.896186,10.2,1.4282856857085702,0.12784679999999998
1776298611.9426243,11.0,1.4832396974191326,0.137874
1776298617.0093174,8.0,1.2649110640673518,0.100272
1776298622.0820591,9.8,1.4,0.1228332
1776298627.1261365,9.8,1.4,0.1228332
1776298632.1374195,9.4,1.3711309200802089,0.11781960000000001
1776298637.2266123,10.2,1.4282856857085702,0.12784679999999998
1776298641.2728167,7.4,1.2165525060596438,0.0927516
1776298646.3486714,10.6,1.4560219778561037,0.1328604
1776298651.34656,9.4,1.3711309200802089,0.11781960000000001
