time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:50:55 2026,19.209296875,119302,34.2266261277651,1003.3049970468743,83.12991900557839,0,1,1,0,1,1,153,39,7,3,1,0
Wed Feb 18 15:50:56 2026,19.218671875,120590,34.216151546017244,1003.3153499277868,83.04303341203097,0,1,1,0,1,1,153,39,7,3,1,0
Wed Feb 18 15:50:57 2026,19.222578125,122621,34.19948544498412,1003.3114772169952,83.07553469343736,0,1,1,0,1,1,153,39,7,3,1,0
Wed Feb 18 15:50:58 2026,19.222578125,123343,34.17677703563061,1003.3045834209188,83.13339033815468,0,1,1,0,1,1,177,44,7,3,1,0
Wed Feb 18 15:50:59 2026,19.2216015625,125751,34.153980346495004,1003.3046898962931,83.13249674945172,0,1,1,0,1,1,177,44,7,3,1,0
Wed Feb 18 15:51:00 2026,19.2184765625,125940,34.13666051837846,1003.2995155859938,83.175921951921,0,1,1,0,1,1,177,44,7,3,1,0
Wed Feb 18 15:51:01 2026,19.215546875,127473,34.130710490548374,1003.2981115359746,83.18770541960846,0,1,1,0,1,1,168,43,7,3,1,0
Wed Feb 18 15:51:02 2026,19.212421875,128945,34.13041713719237,1003.2981074864286,83.18773940537862,0,1,1,0,1,1,168,43,7,3,1,0
Wed Feb 18 15:51:03 2026,19.2083203125,131994,34.113008810023786,1003.2982098186764,83.18688058314743,0,1,1,0,1,1,168,43,7,3,1,0
Wed Feb 18 15:51:04 2026,19.2040234375,131476,34.09558443939498,1003.3014354741906,83.15980934205892,0,1,1,0,1,1,138,37,7,4,1,0
Wed Feb 18 15:51:05 2026,19.19953125,132306,34.09516314376856,1003.295720665867,83.20777079007989,0,1,1,0,1,1,138,37,7,4,1,0
Wed Feb 18 15:51:06 2026,19.19640625,133573,34.08352388250091,1003.2957164052423,83.20780654739653,0,1,1,0,1,1,138,37,7,4,1,0
Wed Feb 18 15:51:07 2026,19.194453125,137295,34.066323169532104,1003.2993758894147,83.17709435266421,0,1,1,0,1,1,138,37,6,4,1,0
Wed Feb 18 15:51:08 2026,19.1919140625,135628,34.08310273552933,1003.2951716524112,83.21237838938697,0,1,1,0,1,1,138,37,6,4,1,0
Wed Feb 18 15:51:09 2026,19.18859375,136958,34.07144633180444,1003.294843884766,83.21512918264374,0,1,1,0,1,1,138,37,6,4,1,0
Wed Feb 18 15:51:10 2026,19.1856640625,138201,34.06549956041015,1003.298609581978,83.18352557483459,0,1,1,0,1,1,144,39,6,4,1,0
Wed Feb 18 15:51:11 2026,19.18390625,138774,34.06533484753394,1003.2991456200543,83.17902688395009,0,1,1,0,1,1,144,39,6,4,1,0
Wed Feb 18 15:51:12 2026,19.1815625,139700,34.04810007069363,1003.2987114185402,83.18267091298546,0,1,1,0,1,1,144,39,6,4,1,0
Wed Feb 18 15:51:13 2026,19.1815625,140756,34.042428780655314,1003.2883713831773,83.26944986624808,0,1,1,0,1,1,153,40,5,4,1,0
Wed Feb 18 15:51:14 2026,19.181953125,142070,34.048136657335284,1003.2890181919779,83.26402148924043,0,1,1,0,1,1,153,40,5,4,1,0
Wed Feb 18 15:51:15 2026,19.1829296875,143040,34.03121484879089,1003.287188529372,83.27937703658864,0,1,1,0,1,1,153,40,5,4,1,0
Wed Feb 18 15:51:16 2026,19.1821484375,143408,34.02547105459711,1003.2824482352771,83.31916032950288,0,1,1,0,1,1,168,45,6,4,1,0
Wed Feb 18 15:51:17 2026,19.18390625,143900,34.025635606162936,1003.2784654783756,83.35258604929744,0,1,1,0,1,1,168,45,6,4,1,0
Wed Feb 18 15:51:18 2026,19.18625,145399,34.03719663510157,1003.2840696362666,83.3055525763989,0,1,1,0,1,1,168,45,6,4,1,0
Wed Feb 18 15:51:19 2026,19.18703125,146544,34.03726979195987,1003.2767464769905,83.3670129882881,0,1,1,0,1,1,192,45,6,4,1,0
Wed Feb 18 15:51:20 2026,19.188203125,146930,34.037379528351266,1003.2804102256792,83.33626453294457,0,1,1,0,1,1,192,45,6,4,1,0
Wed Feb 18 15:51:21 2026,19.1887890625,148099,34.04877694739846,1003.2796570664979,83.34258550531996,0,1,1,0,1,1,192,45,6,4,1,0
Wed Feb 18 15:51:22 2026,19.189765625,149021,34.043197025495516,1003.2726572620663,83.40133232799853,0,1,1,0,1,1,201,48,6,4,1,0
Wed Feb 18 15:51:23 2026,19.1907421875,149287,34.04895989569853,1003.279444331999,83.3443709040086,0,1,1,0,1,1,201,48,6,4,1,0
Wed Feb 18 15:51:24 2026,19.1907421875,149955,34.05463151955569,1003.2777209693807,83.35883443380678,0,1,1,0,1,1,201,48,6,4,1,0
Wed Feb 18 15:51:25 2026,19.1887890625,150494,34.060120360545454,1003.2779337090491,83.35704898924864,0,0,1,0,0,1,186,45,4,2,0,0
Wed Feb 18 15:51:26 2026,19.1876171875,151173,34.07702725539368,1003.2690999032882,83.43118807864056,0,0,1,0,0,1,186,45,4,2,0,0
Wed Feb 18 15:51:27 2026,19.1860546875,151721,34.08822630040975,1003.271682784141,83.4095107945059,0,0,1,0,0,1,186,45,4,2,0,0
Wed Feb 18 15:51:28 2026,19.1841015625,153108,34.08804318503143,1003.2822355690323,83.32094515134337,0,0,1,0,0,1,189,45,4,2,0,0
Wed Feb 18 15:51:29 2026,19.181953125,153248,34.09918801939017,1003.2872948520635,83.27848471673803,0,0,1,0,0,1,189,45,4,2,0,0
Wed Feb 18 15:51:30 2026,19.1790234375,154094,34.1102603283654,1003.2858904607148,83.29027116527274,0,0,1,0,0,1,189,45,4,2,0,0
Wed Feb 18 15:51:31 2026,19.1758984375,154236,34.0986202419095,1003.2927792580872,83.2324565994953,0,0,1,0,0,1,183,42,4,2,0,0
Wed Feb 18 15:51:32 2026,19.1721875,154806,34.11529289315803,1003.2935277705808,83.22617469147883,0,0,1,0,0,1,183,42,4,2,0,0
Wed Feb 18 15:51:33 2026,19.1684765625,155380,34.12061871391469,1003.2977228225877,83.19096769295152,0,0,1,0,0,1,183,42,4,2,0,0
Wed Feb 18 15:51:34 2026,19.163984375,155959,34.120197283629814,1003.2971775210556,83.19554413251142,0,0,1,0,0,1,177,41,4,1,0,0
Wed Feb 18 15:51:35 2026,19.1596875,156835,34.136816927137104,1003.2952322711158,83.21186964638015,0,0,1,0,0,1,177,41,4,1,0,0
Wed Feb 18 15:51:36 2026,19.1551953125,156835,34.14774481299964,1003.2843472046411,83.30322306072675,0,0,1,0,0,1,177,41,4,1,0,0
Wed Feb 18 15:51:37 2026,19.15109375,158617,34.13601047118014,1003.2810020551336,83.33129754097816,0,0,1,0,0,1,189,44,5,1,0,0
Wed Feb 18 15:51:38 2026,19.1473828125,159524,34.14701150128379,1003.2765804537277,83.36840636081614,0,0,1,0,0,1,189,44,5,1,0,0
Wed Feb 18 15:51:39 2026,19.1466015625,158617,34.15261311205609,1003.2804565368086,83.3358758617579,0,0,1,0,0,1,189,44,5,1,0,0
Wed Feb 18 15:51:40 2026,19.1438671875,159221,34.16370688800685,1003.2845449231929,83.30156369165482,0,0,1,0,0,1,183,42,7,1,0,0
Wed Feb 18 15:51:41 2026,19.1409375,160287,34.15775651101497,1003.2865865920572,83.28442883464952,0,0,1,0,0,1,183,42,7,1,0,0
Wed Feb 18 15:51:42 2026,19.1409375,160441,34.169107321283334,1003.2865865920572,83.28442883464952,0,0,1,0,0,1,183,42,7,1,0,0
Wed Feb 18 15:51:43 2026,19.1419140625,161368,34.174874767404816,1003.2899269205366,83.25639494161905,0,0,1,0,0,1,183,39,7,1,0,0
Wed Feb 18 15:51:45 2026,19.142890625,161836,34.16361519384654,1003.2863743098168,83.28621042774081,0,0,1,0,0,1,183,39,7,1,0,0
Wed Feb 18 15:51:46 2026,19.149921875,161680,34.16427541240563,1003.2842313389087,83.3041954734591,0,0,1,0,0,1,183,39,7,1,0,0
Wed Feb 18 15:51:47 2026,19.154609375,162306,34.17606717797202,1003.2851002331872,83.29690320864465,0,0,1,0,0,1,183,39,6,1,0,0
Wed Feb 18 15:51:48 2026,19.156171875,163096,34.15918682034848,1003.2945806276199,83.21733857140805,0,0,1,0,0,1,183,39,6,1,0,0
Wed Feb 18 15:51:49 2026,19.157734375,163734,34.18203687873155,1003.295444678232,83.21008701800176,0,0,1,0,0,1,183,39,6,1,0,0
Wed Feb 18 15:51:50 2026,19.1618359375,163255,34.16539422531583,1003.2970665466559,83.19647548468615,0,0,1,0,0,1,156,39,7,1,0,0
Wed Feb 18 15:51:51 2026,19.1696484375,163894,34.1718038298973,1003.2944933725038,83.21807086112662,0,0,1,0,0,1,156,39,7,1,0,0
Wed Feb 18 15:51:52 2026,19.1778515625,164538,34.15554709150349,1003.2925666791905,83.23424067337771,0,0,1,0,0,1,156,39,7,1,0,0
Wed Feb 18 15:51:53 2026,19.18546875,167500,34.167613916469776,1003.2965628260924,83.200702958405,0,0,1,0,0,1,141,34,8,1,0,0
Wed Feb 18 15:51:54 2026,19.19484375,166171,34.16281861426539,1003.2896824481833,83.25844668691646,0,0,1,0,0,1,141,34,8,1,0,0
Wed Feb 18 15:51:55 2026,19.2020703125,167500,34.15214592328639,1003.2947546866689,83.21587777869387,0,0,1,0,0,1,141,34,8,1,0,0
Wed Feb 18 15:51:56 2026,19.2083203125,166336,34.152732898574314,1003.286145947618,83.28812697331888,0,1,1,0,1,1,159,40,10,0,0,0
Wed Feb 18 15:51:57 2026,19.2130078125,166833,34.14749757764132,1003.2715029201553,83.41102033333806,0,1,1,0,1,1,159,40,10,0,0,0
Wed Feb 18 15:51:58 2026,19.215546875,167668,34.136385453333304,1003.280877244417,83.33234502806691,0,1,1,0,1,1,159,40,10,0,0,0
Wed Feb 18 15:51:59 2026,19.2190625,168342,34.14239075610195,1003.2763576307855,83.37027643257281,0,1,1,0,1,1,141,38,10,0,0,0
Wed Feb 18 15:52:00 2026,19.22375,169878,34.12580573535554,1003.2789485686172,83.34853165625859,0,1,1,0,1,1,141,38,10,0,0,0
Wed Feb 18 15:52:01 2026,19.23234375,169021,34.13796260550189,1003.272495890728,83.40268666309382,0,1,1,0,1,1,141,38,10,0,0,0
Wed Feb 18 15:52:02 2026,19.239765625,169021,34.13298429907933,1003.2641024634037,83.4731301045639,0,1,1,0,1,1,150,42,10,0,0,0
Wed Feb 18 15:52:03 2026,19.245234375,171619,34.13349781816564,1003.2662629531178,83.45499773650522,0,1,1,0,1,1,150,42,10,0,0,0
Wed Feb 18 15:52:04 2026,19.2505078125,169534,34.12264284618894,1003.2629294127082,83.4829751945156,0,1,1,0,1,1,150,42,10,0,0,0
Wed Feb 18 15:52:05 2026,19.256171875,171619,34.111825157172184,1003.2688601073204,83.4332006109806,0,0,0,0,0,0,150,43,9,0,0,0
Wed Feb 18 15:52:06 2026,19.2633984375,172680,34.118178200483634,1003.2739306170581,83.39064549617508,0,0,0,0,0,0,150,43,9,0,0,0
Wed Feb 18 15:52:07 2026,19.271015625,170918,34.124568376571204,1003.2744770183899,83.38605974051767,0,0,0,0,0,0,150,43,9,0,0,0
Wed Feb 18 15:52:08 2026,19.277265625,171971,34.10813060201511,1003.265865259268,83.45833546409457,0,0,0,0,0,0,138,40,8,0,0,0
Wed Feb 18 15:52:09 2026,19.285078125,174116,34.108863989584826,1003.2719053037829,83.40764326119218,0,0,0,0,0,0,138,40,8,0,0,0
Wed Feb 18 15:52:10 2026,19.2954296875,171971,34.104161121754,1003.2631888623943,83.48079770427773,0,0,0,0,0,0,138,40,8,0,0,0
Wed Feb 18 15:52:11 2026,19.3075390625,173037,34.105297953947876,1003.2556581281569,83.54400128203237,0,0,0,0,0,0,135,39,5,0,0,0
Wed Feb 18 15:52:12 2026,19.3175,171795,34.094883880367135,1003.2497408095389,83.5936641336466,0,0,0,0,0,0,135,39,5,0,0,0
Wed Feb 18 15:52:13 2026,19.32765625,174661,34.09016283230653,1003.2458699292968,83.62615177252782,0,0,0,0,0,0,135,39,5,0,0,0
Wed Feb 18 15:52:14 2026,19.3376171875,172325,34.07974934263854,1003.2468463882536,83.6179565091659,0,0,0,0,0,0,117,39,5,0,0,0
Wed Feb 18 15:52:15 2026,19.3477734375,173936,34.05800754828245,1003.2498695431889,83.59258369577948,0,0,0,0,0,0,117,39,5,0,0,0
Wed Feb 18 15:52:16 2026,19.356953125,174843,34.05886872627531,1003.2478280915836,83.60971723713277,0,0,0,0,0,0,117,39,5,0,0,0
Wed Feb 18 15:52:17 2026,19.364765625,176316,34.053928273809184,1003.2504182400432,83.5879785851873,0,0,0,0,0,0,111,36,5,0,0,0
Wed Feb 18 15:52:18 2026,19.37296875,177061,34.043351429565774,1003.2588263586946,83.51741106501538,0,0,0,0,0,0,111,36,5,0,0,0
Wed Feb 18 15:52:19 2026,19.384296875,174843,34.03306814667178,1003.2586165714804,83.51917175787717,0,0,0,0,0,0,111,36,5,0,0,0
Wed Feb 18 15:52:20 2026,19.396796875,177061,34.01722280973608,1003.2534504672105,83.56252970359252,0,0,0,0,0,0,114,36,7,0,0,0
Wed Feb 18 15:52:21 2026,19.4075390625,174843,34.0182299783062,1003.2591651956103,83.51456729015176,0,0,0,0,0,0,114,36,7,0,0,0
Wed Feb 18 15:52:22 2026,19.4184765625,177813,34.01358317186718,1003.2565830804276,83.53623836718523,0,0,0,0,0,0,114,36,7,0,0,0
Wed Feb 18 15:52:23 2026,19.4286328125,176874,33.98050481706103,1003.2630510957732,83.48195394178049,0,0,0,0,0,0,132,42,7,0,0,0
Wed Feb 18 15:52:24 2026,19.4395703125,175945,33.97018753393545,1003.25874391314,83.51810301038995,0,0,0,0,0,0,132,42,7,0,0,0
Wed Feb 18 15:52:25 2026,19.4481640625,176316,33.94831053561955,1003.2591767503868,83.51447031377037,0,0,0,0,0,0,132,42,7,0,0,0
Wed Feb 18 15:52:26 2026,19.4563671875,179336,33.937738707430974,1003.2537904855758,83.55967600073144,0,0,0,0,0,0,120,36,4,0,0,0
Wed Feb 18 15:52:27 2026,19.464375,176874,33.93281864502627,1003.2584250227768,83.520779379633,0,0,0,0,0,0,120,36,4,0,0,0
Wed Feb 18 15:52:28 2026,19.4723828125,179336,33.910891007297785,1003.25616295413,83.53976439129819,0,0,0,0,0,0,120,36,4,0,0,0
