time,cps,total_count,total_intervals
10.009479999542236,10.0,109339.0,7179
20.255717039108276,18.0,109479.0,7189
30.344309091567993,15.0,109643.0,7199
40.43411207199097,17.0,109788.0,7209
50.523956298828125,14.0,109947.0,7219
60.61400508880615,16.0,110115.0,7229
70.7015585899353,12.0,110285.0,7239
80.7935962677002,10.0,110420.0,7249
90.8815176486969,19.0,110599.0,7259
100.9719352722168,15.0,110757.0,7269
111.06090354919434,19.0,110939.0,7279
121.15099883079529,18.0,111084.0,7289
10.010224342346191,38.0,133036.0,8059
20.391947507858276,34.0,133424.0,8069
30.483654260635376,48.0,133849.0,8079
40.57493352890015,34.0,134212.0,8089
50.66677904129028,44.0,134635.0,8099
60.75611853599548,33.0,135013.0,8109
70.84549880027771,28.0,135392.0,8119
80.93354153633118,33.0,135790.0,8129
91.0220627784729,39.0,136171.0,8139
101.11252689361572,26.0,136558.0,8149
111.20339369773865,43.0,136958.0,8159
121.29468870162964,33.0,137317.0,8169
10.010243892669678,37.0,141428.0,8275
21.011295557022095,39.0,141798.0,8285
31.10227656364441,35.0,142145.0,8295
41.193050146102905,38.0,142527.0,8305
51.284226179122925,35.0,142898.0,8315
61.37560033798218,39.0,143275.0,8325
71.46646785736084,45.0,143658.0,8335
81.55755925178528,34.0,144037.0,8345
91.64866089820862,44.0,144401.0,8355
101.73871779441833,26.0,144742.0,8365
111.82845759391785,35.0,145129.0,8375
121.91922116279602,33.0,145489.0,8385
10.010254144668579,35.0,146290.0,8408
20.523549556732178,35.0,146656.0,8418
30.614305019378662,33.0,147022.0,8428
40.70496964454651,45.0,147377.0,8438
50.79497313499451,39.0,147725.0,8448
60.884037256240845,39.0,148090.0,8458
70.9721007347107,40.0,148421.0,8468
81.06006097793579,44.0,148800.0,8478
91.14877200126648,30.0,149111.0,8488
101.23754954338074,37.0,149481.0,8498
111.32784986495972,36.0,149812.0,8508
121.41918754577637,35.0,150170.0,8518
10.010336875915527,26.0,152415.0,8555
20.934850454330444,44.0,152782.0,8565
31.023617267608643,44.0,153170.0,8575
41.112876176834106,42.0,153551.0,8585
51.205167055130005,47.0,153925.0,8595
61.29632019996643,34.0,154269.0,8605
71.38525128364563,37.0,154628.0,8615
81.47499585151672,33.0,154980.0,8625
91.5649483203888,42.0,155350.0,8635
101.65468645095825,25.0,155682.0,8645
111.74494075775146,38.0,156077.0,8655
121.83533263206482,40.0,156474.0,8665
10.010273933410645,136.0,159525.0,8694
21.005101203918457,114.0,160699.0,8704
31.096210718154907,113.0,161904.0,8714
41.18779444694519,132.0,163132.0,8724
51.27890872955322,111.0,164351.0,8734
61.36587429046631,100.0,165513.0,8744
71.46094179153442,123.0,166762.0,8754
81.54992818832397,140.0,167945.0,8764
91.6443338394165,109.0,169107.0,8774
101.73398399353027,140.0,170374.0,8784
111.82696557044983,113.0,171533.0,8794
121.91758728027344,130.0,172762.0,8804
10.01023244857788,52.0,174426.0,8827
20.777867555618286,41.0,174908.0,8837
30.866701364517212,50.0,175397.0,8847
40.96018862724304,40.0,175852.0,8857
51.051899671554565,58.0,176323.0,8867
61.1437041759491,42.0,176803.0,8877
71.23496222496033,48.0,177262.0,8887
81.32561492919922,43.0,177730.0,8897
91.41420006752014,33.0,178169.0,8907
101.50386142730713,46.0,178632.0,8917
111.59390163421631,47.0,179140.0,8927
121.68509078025818,46.0,179624.0,8937
10.010257005691528,43.0,180359.0,8956
20.61467981338501,45.0,180716.0,8966
30.70395278930664,41.0,181089.0,8976
40.79111671447754,39.0,181468.0,8986
50.88284373283386,26.0,181822.0,8996
60.97177767753601,31.0,182160.0,9006
71.05907869338989,31.0,182511.0,9016
81.15367221832275,38.0,182856.0,9026
91.24314284324646,31.0,183227.0,9036
101.3359649181366,33.0,183569.0,9046
111.42840719223022,25.0,183940.0,9056
121.51671195030212,37.0,184313.0,9066
10.010269403457642,29.0,185012.0,9088
20.90362048149109,22.0,185317.0,9098
30.994280576705933,28.0,185641.0,9108
41.08639311790466,30.0,185947.0,9118
51.17805361747742,21.0,186233.0,9128
61.27059864997864,29.0,186516.0,9138
71.36199998855591,31.0,186820.0,9148
81.45290017127991,28.0,187144.0,9158
91.54450702667236,22.0,187452.0,9168
101.6340560913086,33.0,187732.0,9178
111.72388553619385,28.0,188032.0,9188
121.80765795707703,23.0,188319.0,9198
